Age,Working Class,Education,Marital Status,Occupation,Gender,Capital Gain,Capital Loss,Hour per Week,Salary
34,Entrepreneur,Junior High School,Married,Handicraft Refinement,Female,0.0,0.0,48.0,<=7jt
23,Country Government,Senior High School,Single,Executive Manager,Male,0.0,0.0,40.0,<=7jt
24,Entrepreneur,Associate Degree,Single,Religious Leader,Female,0.0,0.0,20.0,<=7jt
53,Entrepreneur,Elementary School,Married,Executive Manager,Male,107632000.0,0.0,10.0,>7jt
44,Country Government,Senior High School,Separated,Tech Support,Male,0.0,0.0,40.0,<=7jt
32,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,28028000.0,66.0,<=7jt
21,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,40.0,<=7jt
55,Other,Bachelor,Married,Other Services,Male,72492000.0,0.0,20.0,>7jt
17,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,22428000.0,12.0,<=7jt
79,Entrepreneur,Senior High School,Married,Specialist,Male,0.0,0.0,6.0,<=7jt
33,Entrepreneur,Senior High School,Married,Executive Manager,Male,0.0,0.0,40.0,<=7jt
71,Local Government,Senior High School,Widowed,Executive Manager,Female,0.0,0.0,33.0,<=7jt
37,Entrepreneur,Associate Degree,Married,Religious Leader,Male,48594000.0,0.0,40.0,<=7jt
47,Local Government,Bachelor,Single,Specialist,Female,0.0,0.0,50.0,<=7jt
51,Entrepreneur,Master,Married,Executive Manager,Male,210336000.0,0.0,60.0,>7jt
26,Other,Senior High School,Single,Other Services,Female,0.0,0.0,16.0,<=7jt
23,Entrepreneur,Bachelor,Single,Religious Leader,Female,0.0,0.0,15.0,<=7jt
18,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,0.0,20.0,<=7jt
17,Entrepreneur,Senior High School,Single,Sales,Female,0.0,0.0,20.0,<=7jt
39,Entrepreneur,Senior High School,Married,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
45,Entrepreneur,Bachelor,Married,Tech Support,Male,0.0,0.0,40.0,>7jt
32,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,26628000.0,40.0,>7jt
48,Local Government,Associate Degree,Married,Security,Male,0.0,0.0,40.0,>7jt
27,Other,Senior High School,Single,Other Services,Female,0.0,0.0,25.0,<=7jt
40,Entrepreneur,Senior High School,Divorced,Handicraft Refinement,Male,0.0,0.0,50.0,<=7jt
19,Entrepreneur,Senior High School,Single,Other Services,Female,477330000.0,0.0,20.0,<=7jt
22,Entrepreneur,Bachelor,Single,Specialist,Male,0.0,0.0,40.0,<=7jt
62,Entrepreneur,Bachelor,Married,Executive Manager,Male,210336000.0,0.0,40.0,>7jt
23,Never Worked,Junior High School,Divorced,Other Services,Male,0.0,0.0,35.0,<=7jt
24,Entrepreneur,Bachelor,Single,Executive Manager,Male,0.0,0.0,40.0,>7jt
26,Entrepreneur,Elementary School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
26,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,39.0,<=7jt
29,Entrepreneur,Senior High School,Married,Cleaning Service,Male,0.0,0.0,45.0,<=7jt
54,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,28714000.0,40.0,<=7jt
49,Local Government,Bachelor,Married,Executive Manager,Male,0.0,0.0,40.0,<=7jt
28,Entrepreneur,Bachelor,Married,Specialist,Male,0.0,0.0,50.0,<=7jt
39,Entrepreneur,Senior High School,Divorced,Household Assistant,Female,0.0,0.0,16.0,<=7jt
52,Entrepreneur,Senior High School,Married,Other Services,Male,0.0,0.0,40.0,<=7jt
40,State Government,Master,Single,Executive Manager,Female,197176000.0,0.0,55.0,>7jt
31,Entrepreneur,Associate Degree,Divorced,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
39,Entrepreneur,Senior High School,Divorced,Sales,Female,0.0,0.0,40.0,<=7jt
47,Other,Senior High School,Married,Other Services,Female,0.0,0.0,35.0,<=7jt
69,Other,Senior High School,Married,Other Services,Male,0.0,0.0,60.0,>7jt
23,Entrepreneur,Senior High School,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
60,Entrepreneur,Senior High School,Married,Executive Manager,Male,1399986000.0,0.0,40.0,>7jt
56,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,45.0,>7jt
49,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,102172000.0,0.0,43.0,>7jt
27,Entrepreneur,Senior High School,Single,Executive Manager,Female,0.0,0.0,40.0,<=7jt
20,Entrepreneur,Senior High School,Single,Household Assistant,Female,0.0,0.0,45.0,<=7jt
56,Entrepreneur,Senior High School,Married,Other Services,Male,0.0,0.0,50.0,<=7jt
27,Entrepreneur,Bachelor,Single,Religious Leader,Male,0.0,0.0,35.0,<=7jt
30,Local Government,Bachelor,Divorced,Specialist,Female,0.0,0.0,40.0,<=7jt
30,Entrepreneur,Bachelor,Single,Other Services,Male,0.0,0.0,40.0,<=7jt
42,Non-Corporate Freelance,Senior High School,Divorced,Farmer,Male,0.0,0.0,50.0,<=7jt
19,Entrepreneur,Elementary School,Single,Farmer,Male,0.0,0.0,36.0,<=7jt
30,Entrepreneur,Associate Degree,Divorced,Sales,Male,0.0,0.0,52.0,<=7jt
55,Entrepreneur,Senior High School,Married,Executive Manager,Male,0.0,0.0,45.0,<=7jt
25,Local Government,Senior High School,Single,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
30,Entrepreneur,Associate Degree,Married,Specialist,Female,0.0,0.0,36.0,>7jt
59,Entrepreneur,Senior High School,Widowed,Other Services,Female,0.0,0.0,35.0,<=7jt
52,Country Government,Associate Degree,Married,Executive Manager,Male,0.0,0.0,40.0,<=7jt
41,Entrepreneur,Senior High School,Married,Driver,Male,0.0,27678000.0,50.0,>7jt
18,Other,Senior High School,Single,Other Services,Female,0.0,0.0,24.0,<=7jt
56,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,>7jt
49,Non-Corporate Freelance,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
28,Entrepreneur,Elementary School,Single,Household Assistant,Female,0.0,0.0,40.0,<=7jt
39,Entrepreneur,Bachelor,Married,Cleaning Service,Female,0.0,0.0,37.0,<=7jt
49,Entrepreneur,Junior High School,Married,Specialist,Male,0.0,0.0,32.0,<=7jt
37,Entrepreneur,Senior High School,Divorced,Cleaning Service,Female,0.0,0.0,40.0,<=7jt
41,Entrepreneur,Associate Degree,Married,Religious Leader,Male,102172000.0,0.0,40.0,>7jt
69,Other,Professional School,Married,Other Services,Female,0.0,0.0,25.0,<=7jt
57,Entrepreneur,Bachelor,Married,Driver,Male,0.0,0.0,40.0,<=7jt
35,Entrepreneur,Associate Degree,Single,Driver,Male,0.0,0.0,30.0,<=7jt
43,Non-Corporate Freelance,Senior High School,Married,Executive Manager,Male,0.0,0.0,50.0,<=7jt
34,Entrepreneur,Senior High School,Divorced,Cleaning Service,Male,0.0,0.0,43.0,<=7jt
17,Entrepreneur,Senior High School,Single,Handicraft Refinement,Female,0.0,0.0,15.0,<=7jt
31,Corporate Freelance,Bachelor,Married,Executive Manager,Male,0.0,0.0,50.0,>7jt
20,Entrepreneur,Senior High School,Single,Machinery Supervisor,Male,0.0,0.0,32.0,<=7jt
62,Entrepreneur,Associate Degree,Divorced,Sales,Female,0.0,0.0,40.0,<=7jt
52,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,38.0,<=7jt
38,Entrepreneur,Master,Single,Religious Leader,Female,0.0,0.0,50.0,>7jt
52,Entrepreneur,Senior High School,Widowed,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
24,Entrepreneur,Senior High School,Divorced,Sales,Female,0.0,0.0,48.0,<=7jt
44,Entrepreneur,Associate Degree,Married,Handicraft Refinement,Male,0.0,0.0,40.0,>7jt
45,Entrepreneur,Senior High School,Single,Sales,Female,0.0,0.0,20.0,<=7jt
37,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,50.0,>7jt
36,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
59,Other,Senior High School,Widowed,Other Services,Female,0.0,0.0,40.0,<=7jt
67,Entrepreneur,Senior High School,Single,Executive Manager,Female,0.0,0.0,35.0,<=7jt
66,Entrepreneur,Bachelor,Married,Specialist,Male,0.0,0.0,45.0,>7jt
18,Entrepreneur,Senior High School,Married,Sales,Female,0.0,0.0,20.0,<=7jt
26,Entrepreneur,Bachelor,Single,Specialist,Male,0.0,0.0,48.0,<=7jt
56,Local Government,Master,Married,Executive Manager,Male,0.0,0.0,40.0,>7jt
46,Corporate Freelance,Bachelor,Married,Machinery Supervisor,Male,102172000.0,0.0,40.0,>7jt
29,Entrepreneur,Bachelor,Married,Specialist,Male,0.0,0.0,40.0,>7jt
30,Other,Bachelor,Single,Other Services,Female,0.0,0.0,50.0,<=7jt
37,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,45.0,>7jt
32,Entrepreneur,Bachelor,Married,Specialist,Male,0.0,0.0,60.0,>7jt
29,Entrepreneur,Master,Single,Specialist,Female,0.0,0.0,80.0,<=7jt
71,Entrepreneur,Senior High School,Married,Sales,Male,0.0,34538000.0,52.0,<=7jt
24,Entrepreneur,Senior High School,Single,Cleaning Service,Male,0.0,0.0,39.0,<=7jt
46,Entrepreneur,Senior High School,Divorced,Machinery Supervisor,Male,0.0,0.0,43.0,<=7jt
22,Entrepreneur,Associate Degree,Single,Tech Support,Female,0.0,0.0,36.0,<=7jt
57,Entrepreneur,Master,Married,Executive Manager,Male,0.0,0.0,50.0,>7jt
66,Other,Associate Degree,Widowed,Other Services,Female,0.0,0.0,3.0,<=7jt
35,Entrepreneur,Elementary School,Married,Machinery Supervisor,Male,0.0,0.0,50.0,<=7jt
46,Country Government,Bachelor,Married,Specialist,Male,0.0,0.0,38.0,>7jt
24,Entrepreneur,Associate Degree,Married,Specialist,Male,0.0,0.0,40.0,>7jt
41,Entrepreneur,Senior High School,Divorced,Religious Leader,Female,0.0,0.0,40.0,<=7jt
54,Entrepreneur,Senior High School,Divorced,Driver,Male,0.0,0.0,45.0,<=7jt
26,Local Government,Bachelor,Single,Specialist,Male,0.0,0.0,40.0,<=7jt
22,Unpaid,Senior High School,Single,Cleaning Service,Male,61824000.0,0.0,40.0,<=7jt
38,Non-Corporate Freelance,Senior High School,Married,Sales,Female,0.0,0.0,24.0,>7jt
56,Country Government,Senior High School,Divorced,Religious Leader,Female,0.0,0.0,35.0,<=7jt
30,Local Government,Senior High School,Single,Security,Female,0.0,0.0,40.0,<=7jt
17,Entrepreneur,Junior High School,Single,Other Services,Female,0.0,0.0,20.0,<=7jt
19,Entrepreneur,Senior High School,Single,Driver,Male,0.0,0.0,40.0,<=7jt
38,Entrepreneur,Bachelor,Divorced,Executive Manager,Male,46550000.0,0.0,40.0,<=7jt
32,Non-Corporate Freelance,Senior High School,Married,Executive Manager,Male,0.0,0.0,45.0,<=7jt
49,Entrepreneur,Junior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
28,Entrepreneur,Bachelor,Single,Sales,Male,0.0,0.0,40.0,<=7jt
25,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,30.0,<=7jt
37,Entrepreneur,Senior High School,Married,Religious Leader,Female,0.0,0.0,40.0,>7jt
29,Entrepreneur,Senior High School,Married,Other Services,Female,0.0,0.0,40.0,<=7jt
46,Entrepreneur,Associate Degree,Married,Machinery Supervisor,Male,0.0,0.0,40.0,>7jt
41,Local Government,Bachelor,Divorced,Specialist,Male,0.0,0.0,40.0,<=7jt
46,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,50.0,>7jt
54,Country Government,Doctoral,Married,Specialist,Male,0.0,0.0,46.0,>7jt
36,Entrepreneur,Doctoral,Married,Executive Manager,Male,0.0,0.0,40.0,<=7jt
54,Local Government,Master,Married,Specialist,Female,0.0,26418000.0,38.0,>7jt
46,Entrepreneur,Bachelor,Married,Specialist,Male,43442000.0,0.0,40.0,>7jt
44,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,>7jt
27,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,40.0,<=7jt
18,Entrepreneur,Senior High School,Single,Sales,Female,0.0,0.0,30.0,<=7jt
23,Entrepreneur,Senior High School,Single,Sales,Male,0.0,0.0,40.0,<=7jt
75,Non-Corporate Freelance,Senior High School,Married,Farmer,Male,48384000.0,0.0,40.0,<=7jt
32,Entrepreneur,Bachelor,Single,Executive Manager,Male,0.0,0.0,40.0,<=7jt
19,Entrepreneur,Senior High School,Married,Other Services,Female,0.0,0.0,20.0,<=7jt
36,Entrepreneur,Senior High School,Married,Machinery Supervisor,Female,0.0,0.0,50.0,<=7jt
36,Entrepreneur,Bachelor,Married,Sales,Male,0.0,0.0,40.0,>7jt
39,Entrepreneur,Bachelor,Married,Driver,Male,107632000.0,0.0,50.0,>7jt
28,Other,Bachelor,Single,Other Services,Male,0.0,0.0,8.0,<=7jt
17,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,0.0,20.0,<=7jt
33,Entrepreneur,Bachelor,Married,Religious Leader,Female,0.0,0.0,5.0,>7jt
53,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
55,Entrepreneur,Senior High School,Single,Executive Manager,Male,0.0,0.0,54.0,<=7jt
53,Entrepreneur,Junior High School,Widowed,Sales,Female,0.0,0.0,25.0,<=7jt
45,Entrepreneur,Bachelor,Married,Specialist,Male,0.0,0.0,60.0,>7jt
33,Local Government,Master,Married,Specialist,Female,0.0,0.0,40.0,<=7jt
40,Entrepreneur,Bachelor,Married,Tech Support,Male,0.0,0.0,40.0,>7jt
54,Corporate Freelance,Professional School,Married,Specialist,Male,1399986000.0,0.0,60.0,>7jt
34,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
31,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,35.0,<=7jt
40,Corporate Freelance,Associate Degree,Divorced,Sales,Female,21084000.0,0.0,40.0,<=7jt
40,Entrepreneur,Senior High School,Divorced,Executive Manager,Female,0.0,8750000.0,52.0,<=7jt
17,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,15.0,<=7jt
32,Entrepreneur,Associate Degree,Married,Cleaning Service,Male,0.0,0.0,40.0,>7jt
20,Other,Senior High School,Single,Other Services,Male,0.0,0.0,40.0,<=7jt
37,Entrepreneur,Master,Married,Executive Manager,Male,0.0,0.0,40.0,>7jt
36,Entrepreneur,Senior High School,Divorced,Religious Leader,Female,0.0,0.0,40.0,<=7jt
33,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
60,Non-Corporate Freelance,Junior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
23,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
78,Other,Senior High School,Married,Other Services,Male,0.0,0.0,16.0,<=7jt
25,Entrepreneur,Junior High School,Married,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
42,Non-Corporate Freelance,Professional School,Married,Specialist,Male,0.0,0.0,50.0,>7jt
39,Entrepreneur,Elementary School,Married,Other Services,Male,0.0,0.0,40.0,<=7jt
36,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,102172000.0,0.0,40.0,>7jt
31,Local Government,Junior High School,Married,Farmer,Male,0.0,0.0,40.0,<=7jt
30,Entrepreneur,Doctoral,Single,Specialist,Male,0.0,0.0,40.0,<=7jt
28,State Government,Senior High School,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
59,Entrepreneur,Senior High School,Widowed,Handicraft Refinement,Female,0.0,0.0,40.0,<=7jt
17,Other,Senior High School,Single,Other Services,Female,0.0,0.0,15.0,<=7jt
42,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,40.0,>7jt
24,Entrepreneur,Senior High School,Single,Sales,Male,0.0,0.0,40.0,<=7jt
55,Entrepreneur,Senior High School,Divorced,Handicraft Refinement,Male,0.0,0.0,45.0,<=7jt
44,Country Government,Senior High School,Married,Security,Male,0.0,0.0,40.0,>7jt
33,Country Government,Bachelor,Single,Specialist,Male,0.0,0.0,20.0,<=7jt
17,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,20.0,<=7jt
38,Entrepreneur,Bachelor,Single,Religious Leader,Female,0.0,0.0,50.0,<=7jt
32,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,>7jt
30,Entrepreneur,Senior High School,Single,Religious Leader,Male,0.0,0.0,40.0,<=7jt
34,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,60.0,<=7jt
30,Entrepreneur,Senior High School,Single,Machinery Supervisor,Male,0.0,0.0,44.0,<=7jt
66,Corporate Freelance,Senior High School,Married,Sales,Male,0.0,25550000.0,10.0,>7jt
30,Local Government,Bachelor,Married,Specialist,Female,0.0,0.0,33.0,>7jt
39,Entrepreneur,Elementary School,Separated,Sales,Female,0.0,0.0,30.0,<=7jt
19,Other,Senior High School,Single,Other Services,Male,0.0,0.0,40.0,<=7jt
18,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,15.0,<=7jt
48,Entrepreneur,Bachelor,Divorced,Religious Leader,Male,0.0,0.0,40.0,<=7jt
32,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,55.0,>7jt
56,Entrepreneur,Junior High School,Separated,Other Services,Female,0.0,0.0,40.0,<=7jt
38,State Government,Senior High School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
24,Entrepreneur,Associate Degree,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
18,Other,Senior High School,Single,Other Services,Female,0.0,0.0,45.0,<=7jt
20,Entrepreneur,Senior High School,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
30,Entrepreneur,Bachelor,Married,Tech Support,Male,0.0,0.0,40.0,<=7jt
29,State Government,Professional School,Single,Specialist,Female,0.0,0.0,55.0,<=7jt
29,Entrepreneur,Associate Degree,Married,Handicraft Refinement,Male,102172000.0,0.0,32.0,>7jt
33,Entrepreneur,Senior High School,Divorced,Other Services,Female,0.0,0.0,40.0,<=7jt
34,Entrepreneur,Associate Degree,Divorced,Sales,Male,0.0,0.0,50.0,>7jt
38,Entrepreneur,Associate Degree,Married,Executive Manager,Male,0.0,0.0,45.0,>7jt
18,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,20.0,<=7jt
65,Entrepreneur,Associate Degree,Married,Religious Leader,Female,0.0,0.0,40.0,<=7jt
21,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,40.0,<=7jt
45,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,46.0,<=7jt
65,Other,Associate Degree,Married,Other Services,Male,0.0,0.0,40.0,<=7jt
31,Country Government,Bachelor,Single,Religious Leader,Male,0.0,0.0,47.0,<=7jt
20,Entrepreneur,Senior High School,Single,Farmer,Male,0.0,0.0,40.0,<=7jt
39,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,60.0,<=7jt
41,Non-Corporate Freelance,Senior High School,Divorced,Sales,Male,51436000.0,0.0,45.0,<=7jt
59,Entrepreneur,Bachelor,Widowed,Specialist,Female,65100000.0,0.0,37.0,<=7jt
46,Entrepreneur,Senior High School,Married,Sales,Female,0.0,0.0,40.0,>7jt
24,Entrepreneur,Senior High School,Single,Religious Leader,Male,0.0,0.0,40.0,<=7jt
21,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,40.0,<=7jt
39,Entrepreneur,Bachelor,Married,Tech Support,Male,0.0,0.0,50.0,>7jt
58,Corporate Freelance,Bachelor,Married,Specialist,Male,0.0,0.0,40.0,>7jt
18,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,7.0,<=7jt
22,Entrepreneur,Senior High School,Single,Executive Manager,Female,0.0,0.0,40.0,<=7jt
42,Entrepreneur,Senior High School,Single,Driver,Male,0.0,0.0,40.0,>7jt
60,Entrepreneur,Senior High School,Married,Tech Support,Female,0.0,0.0,40.0,>7jt
46,Entrepreneur,Doctoral,Married,Sales,Male,0.0,0.0,40.0,>7jt
27,Entrepreneur,Junior High School,Married,Driver,Male,0.0,0.0,45.0,<=7jt
35,Non-Corporate Freelance,Senior High School,Married,Farmer,Male,0.0,0.0,50.0,<=7jt
29,Country Government,Associate Degree,Divorced,Religious Leader,Male,0.0,0.0,40.0,<=7jt
40,Entrepreneur,Master,Married,Executive Manager,Male,0.0,0.0,50.0,>7jt
26,Entrepreneur,Senior High School,Separated,Religious Leader,Female,0.0,0.0,40.0,<=7jt
28,Entrepreneur,Junior High School,Married,Machinery Supervisor,Female,0.0,0.0,40.0,<=7jt
25,Non-Corporate Freelance,Senior High School,Single,Sales,Female,0.0,0.0,40.0,<=7jt
47,Entrepreneur,Elementary School,Single,Other Services,Male,0.0,0.0,25.0,<=7jt
64,State Government,Associate Degree,Married,Other Services,Male,0.0,0.0,40.0,>7jt
59,Entrepreneur,Senior High School,Divorced,Religious Leader,Female,0.0,0.0,40.0,<=7jt
64,Local Government,Senior High School,Divorced,Religious Leader,Female,0.0,0.0,40.0,<=7jt
29,Entrepreneur,Bachelor,Married,Tech Support,Male,0.0,0.0,35.0,>7jt
28,Entrepreneur,Junior High School,Divorced,Other Services,Female,0.0,0.0,50.0,<=7jt
61,Other,Senior High School,Widowed,Other Services,Female,0.0,0.0,36.0,<=7jt
29,Entrepreneur,Bachelor,Single,Specialist,Male,0.0,0.0,40.0,<=7jt
28,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,55.0,<=7jt
59,Entrepreneur,Associate Degree,Widowed,Executive Manager,Female,0.0,0.0,40.0,>7jt
34,Entrepreneur,Senior High School,Separated,Tech Support,Female,0.0,0.0,35.0,<=7jt
46,Entrepreneur,Junior High School,Married,Farmer,Male,0.0,0.0,30.0,<=7jt
57,Corporate Freelance,Bachelor,Married,Executive Manager,Male,0.0,27678000.0,40.0,>7jt
41,Other,Associate Degree,Divorced,Other Services,Male,0.0,0.0,80.0,<=7jt
40,Entrepreneur,Senior High School,Separated,Machinery Supervisor,Male,0.0,0.0,36.0,<=7jt
25,Entrepreneur,Bachelor,Single,Executive Manager,Female,0.0,24164000.0,60.0,<=7jt
31,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,>7jt
46,Local Government,Bachelor,Single,Specialist,Female,0.0,0.0,40.0,>7jt
50,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
37,Corporate Freelance,Master,Divorced,Executive Manager,Female,0.0,0.0,70.0,<=7jt
52,Local Government,Master,Divorced,Executive Manager,Female,67018000.0,0.0,60.0,>7jt
35,Non-Corporate Freelance,Senior High School,Divorced,Farmer,Male,0.0,0.0,80.0,<=7jt
33,Non-Corporate Freelance,Bachelor,Married,Sales,Male,0.0,0.0,50.0,<=7jt
27,Entrepreneur,Bachelor,Married,Religious Leader,Male,0.0,0.0,40.0,<=7jt
53,Corporate Freelance,Associate Degree,Married,Farmer,Male,1399986000.0,0.0,75.0,>7jt
37,Non-Corporate Freelance,Professional School,Single,Specialist,Male,0.0,0.0,55.0,>7jt
46,Entrepreneur,Bachelor,Single,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
37,Entrepreneur,Bachelor,Married,Executive Manager,Male,102172000.0,0.0,40.0,>7jt
41,Country Government,Master,Divorced,Specialist,Female,0.0,0.0,35.0,<=7jt
23,Entrepreneur,Bachelor,Single,Specialist,Female,0.0,0.0,40.0,<=7jt
34,Local Government,Professional School,Married,Specialist,Male,0.0,0.0,40.0,>7jt
55,Entrepreneur,Senior High School,Divorced,Other Services,Male,0.0,0.0,40.0,<=7jt
45,Entrepreneur,Bachelor,Married,Driver,Male,0.0,0.0,50.0,>7jt
34,Local Government,Elementary School,Single,Religious Leader,Female,0.0,0.0,25.0,<=7jt
54,Entrepreneur,Senior High School,Married,Executive Manager,Male,107632000.0,0.0,40.0,>7jt
36,Entrepreneur,Bachelor,Single,Executive Manager,Male,389592000.0,0.0,40.0,>7jt
38,Entrepreneur,Bachelor,Married,Executive Manager,Male,102172000.0,0.0,50.0,>7jt
31,Corporate Freelance,Associate Degree,Married,Handicraft Refinement,Male,0.0,22106000.0,45.0,<=7jt
30,Corporate Freelance,Bachelor,Single,Executive Manager,Male,0.0,0.0,43.0,<=7jt
47,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,45.0,<=7jt
37,Entrepreneur,Senior High School,Divorced,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
50,Entrepreneur,Associate Degree,Married,Handicraft Refinement,Male,0.0,26628000.0,40.0,>7jt
41,Entrepreneur,Senior High School,Married,Religious Leader,Female,0.0,0.0,60.0,<=7jt
46,Entrepreneur,Master,Married,Executive Manager,Male,0.0,0.0,50.0,>7jt
79,Corporate Freelance,Senior High School,Widowed,Sales,Male,258734000.0,0.0,45.0,>7jt
45,Non-Corporate Freelance,Bachelor,Married,Specialist,Male,0.0,0.0,30.0,<=7jt
51,Entrepreneur,Senior High School,Divorced,Sales,Female,0.0,0.0,40.0,<=7jt
18,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,12.0,<=7jt
61,Entrepreneur,Junior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
24,Entrepreneur,Senior High School,Single,Sales,Male,0.0,0.0,38.0,<=7jt
52,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,41.0,<=7jt
46,Entrepreneur,Doctoral,Married,Specialist,Male,0.0,33810000.0,55.0,>7jt
78,Other,Associate Degree,Widowed,Other Services,Female,0.0,0.0,4.0,<=7jt
39,Entrepreneur,Senior High School,Married,Sales,Female,0.0,0.0,36.0,<=7jt
38,Entrepreneur,Senior High School,Single,Executive Manager,Female,0.0,0.0,35.0,<=7jt
46,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,45.0,>7jt
27,Entrepreneur,Junior High School,Married,Driver,Male,0.0,0.0,40.0,<=7jt
44,Entrepreneur,Associate Degree,Married,Specialist,Male,0.0,0.0,40.0,>7jt
51,Entrepreneur,Bachelor,Single,Specialist,Female,0.0,0.0,35.0,<=7jt
50,Entrepreneur,Master,Married,Specialist,Female,0.0,0.0,38.0,<=7jt
49,Entrepreneur,Senior High School,Divorced,Religious Leader,Male,0.0,0.0,40.0,<=7jt
25,Entrepreneur,Bachelor,Single,Executive Manager,Male,0.0,0.0,40.0,<=7jt
42,State Government,Senior High School,Separated,Other Services,Female,0.0,0.0,40.0,<=7jt
23,Entrepreneur,Senior High School,Single,Machinery Supervisor,Female,0.0,0.0,40.0,<=7jt
23,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
33,Entrepreneur,Bachelor,Single,Specialist,Female,0.0,0.0,40.0,<=7jt
28,Entrepreneur,Elementary School,Married,Machinery Supervisor,Male,0.0,0.0,43.0,<=7jt
21,Entrepreneur,Senior High School,Single,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
42,Local Government,Senior High School,Married,Religious Leader,Male,0.0,0.0,8.0,<=7jt
43,Non-Corporate Freelance,Elementary School,Married,Driver,Male,0.0,0.0,40.0,<=7jt
32,Non-Corporate Freelance,Senior High School,Married,Farmer,Male,56896000.0,0.0,40.0,<=7jt
44,Local Government,Associate Degree,Divorced,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
47,Corporate Freelance,Master,Married,Sales,Male,0.0,0.0,50.0,>7jt
